dataset,descriptor,mean,std,min,max
TorsionNet500 Test,heavy_atom_count,13.4825,2.7410723163771187,5.0,20.0
TorsionNet500 Test,rotatable_bond_count,1.7475,0.8750187967905845,0.0,6.0
TorsionNet500 Test,formal_charge,0.0,0.0,0.0,0.0
TorsionNet500 Test,exact_mol_wt,184.12729052914997,34.0345237249863,70.07825032,268.076726096
TorsionNet500 Test,hbond_donor_count,0.405,0.6180047124103533,0.0,3.0
TorsionNet500 Test,hbond_acceptor_count,2.45,1.1338934190276817,0.0,5.0
TorsionNet500 Test,ring_count,1.9725,0.8114121790500664,0.0,4.0
TorsionNet500 Test,aromatic_ring_count,1.775,0.8895804536176853,0.0,4.0
TorsionNet500 Test,tpsa,35.42905,17.278110221594662,0.0,82.51
TorsionNet500 Test,logp,1.9326766000000004,1.1457581296852275,-1.5049999999999988,4.940220000000003
TorsionNet500 Test,fraction_csp3,0.2002206331250449,0.23445979839109868,0.0,1.0
TorsionNet500 Validation,heavy_atom_count,12.93,3.075662037626529,6.0,20.0
TorsionNet500 Validation,rotatable_bond_count,1.71,0.8323630715188433,0.0,4.0
TorsionNet500 Validation,formal_charge,0.0,0.0,0.0,0.0
TorsionNet500 Validation,exact_mol_wt,180.34286843203998,37.28120261488337,84.093900384,263.094628656
TorsionNet500 Validation,hbond_donor_count,0.54,0.6578200914591107,0.0,2.0
TorsionNet500 Validation,hbond_acceptor_count,2.53,1.2014721609489558,0.0,6.0
TorsionNet500 Validation,ring_count,1.76,0.9961542211541505,0.0,4.0
TorsionNet500 Validation,aromatic_ring_count,1.34,1.0657192762437844,0.0,4.0
TorsionNet500 Validation,tpsa,37.728100000000005,19.601524765211817,0.0,95.64999999999999
TorsionNet500 Validation,logp,1.5374972000000005,1.2465772530697283,-1.243699999999999,4.537100000000004
TorsionNet500 Validation,fraction_csp3,0.3563391094199918,0.29861449135514134,0.0,1.0
JACS Fragments Test,heavy_atom_count,17.75409836065574,5.503870544609931,6.0,32.0
JACS Fragments Test,rotatable_bond_count,3.1639344262295084,1.5975374053852414,0.0,8.0
JACS Fragments Test,formal_charge,-0.17008196721311475,0.6293362050414697,-2.0,1.0
JACS Fragments Test,exact_mol_wt,262.17444502313225,87.70704569822286,90.06807956,535.00024941991
JACS Fragments Test,hbond_donor_count,1.084016393442623,0.887461515918204,0.0,4.0
JACS Fragments Test,hbond_acceptor_count,3.0450819672131146,1.7225453902885508,0.0,8.0
JACS Fragments Test,ring_count,2.1577868852459017,0.8981505179234327,0.0,4.0
JACS Fragments Test,aromatic_ring_count,1.7889344262295082,0.8660375504632586,0.0,4.0
JACS Fragments Test,tpsa,55.7344262295082,28.215807110956053,0.0,146.88
JACS Fragments Test,logp,2.0197518442622955,1.4940416840400272,-1.7597,6.169800000000004
JACS Fragments Test,fraction_csp3,0.2824989241349225,0.1781497135800631,0.0,1.0
Folmsbee Test,heavy_atom_count,22.920398009950247,5.615027757580664,9.0,50.0
Folmsbee Test,rotatable_bond_count,4.265339966832504,1.879044079667519,0.0,14.0
Folmsbee Test,formal_charge,0.0945273631840796,0.3301362355917279,-1.0,2.0
Folmsbee Test,exact_mol_wt,327.1752466066254,79.43359110559432,122.048012812,688.259622616
Folmsbee Test,hbond_donor_count,1.5804311774461028,1.4957576152831429,0.0,9.0
Folmsbee Test,hbond_acceptor_count,3.998341625207297,1.7200200597731232,0.0,9.0
Folmsbee Test,ring_count,2.7628524046434495,1.065221807002175,0.0,6.0
Folmsbee Test,aromatic_ring_count,2.200663349917081,1.0219515356883302,0.0,5.0
Folmsbee Test,tpsa,74.57625207296849,35.50353770987365,0.0,248.73000000000002
Folmsbee Test,logp,2.6189392868988404,1.9287813081917538,-5.087099999999992,6.9839000000000055
Folmsbee Test,fraction_csp3,0.2633080917340322,0.18939651928046053,0.0,1.0
